id,question_text,answer_type,answer_text,accepted_answers,primary_show_key,round_type,media_type,prompt_target,clue_source,explanation,pack_ids,pack_names
4001-002,"In Next to Normal, what is the first name of the mother at the centre of the story?",text,Diana,"[""[\""Diana Goodman\"", \""Diana\""]""]",next_to_normal,general,text,fact_value,direct_fact,Diana Goodman is the mother whose mental health and grief shape the family’s story.,4001,Next to Normal
4001-009,Next to Normal won the Pulitzer Prize for Drama in which year?,text,2010,"[""[\""2010\""]""]",next_to_normal,general,text,fact_value,direct_fact,Next to Normal won the 2010 Pulitzer Prize for Drama.,4001,Next to Normal
4001-012,"In Next to Normal, what is the family surname?",text,Goodman,"[""[\""Goodman\""]""]",next_to_normal,general,text,fact_value,direct_fact,The central family are the Goodmans.,4001,Next to Normal
4001-015,"In Next to Normal, name the psychiatrist Diana sees in Act 1 (the one who prescribes medication).",text,Dr Madden,"[""[\""Dr Madden\"", \""Doctor Madden\"", \""Madden\""]""]",next_to_normal,general,text,fact_value,direct_fact,Diana’s psychiatrist in Act 1 is Dr Madden (played alongside Dr Fine in the London production).,4001,Next to Normal
4001-025,PICTURE: This is a photo of the London actor playing Gabe. What is the actor’s name?,text,Jack Wolfe,"[""[\""Jack Wolfe\""]""]",next_to_normal,picture,image,performer_name,cast_headshot,Jack Wolfe played Gabe in the London production.,4001,Next to Normal
4002-003,"In the original West End cast of Dear Evan Hansen, who played Evan Hansen?",text,Sam Tutty,"[""[\""Sam Tutty\""]""]",dear_evan_hansen,general,text,fact_value,direct_fact,Sam Tutty played Evan in the original West End cast and won the Olivier for the role.,4002,Dear Evan Hansen
4002-005,"In Dear Evan Hansen, what is the first name of Evan’s mother?",text,Heidi,"[""[\""Heidi\"", \""Heidi Hansen\""]""]",dear_evan_hansen,general,text,fact_value,direct_fact,Evan’s mother is Heidi Hansen.,4002,Dear Evan Hansen
4002-012,"In Dear Evan Hansen, what is the surname of the family whose son Connor dies?",text,Murphy,"[""[\""Murphy\""]""]",dear_evan_hansen,general,text,fact_value,direct_fact,Connor is part of the Murphy family.,4002,Dear Evan Hansen
4002-015,"In Dear Evan Hansen, complete the song title: To Break in a ____.",text,Glove,"[""[\""Glove\""]""]",dear_evan_hansen,general,text,song_title,direct_fact,The song is titled To Break in a Glove.,4002,Dear Evan Hansen
4002-025,PICTURE: This is the signature prop from which show?,text,Dear Evan Hansen,"[""[\""Evan Hansen\"", \""Even Hansen\"", \""Hansen\"", \""Dear Evan Hanson\""]""]",dear_evan_hansen,picture,image,show_title,prop_image,"Evan wears an arm cast, which becomes central to the story’s misunderstanding.",4002,Dear Evan Hansen
4003-002,"In Two Strangers (Carry a Cake Across New York), what is the first name of the English visitor?",text,Dougal,"[""[\""Dougal\"", \""Dougal Todd\""]""]",two_strangers_carry_a_cake_across_new_york,general,text,fact_value,direct_fact,Dougal Todd is the Englishman visiting New York.,4003,Two Strangers (Carry a Cake Across New York)
4003-003,"In Two Strangers (Carry a Cake Across New York), what is the first name of the New Yorker who picks Dougal up at the airport?",text,Robin,"[""[\""Robin\"", \""Robin Rainey\""]""]",two_strangers_carry_a_cake_across_new_york,general,text,fact_value,direct_fact,Robin Rainey is the cynical New Yorker who picks Dougal up.,4003,Two Strangers (Carry a Cake Across New York)
4003-012,"In Two Strangers (Carry a Cake Across New York), complete the Act 2 song title: The Hangover ____.",text,Duet,"[""[\""Duet\""]""]",two_strangers_carry_a_cake_across_new_york,general,text,song_title,direct_fact,The Act 2 number is titled The Hangover Duet.,4003,Two Strangers (Carry a Cake Across New York)
4003-015,"In Two Strangers (Carry a Cake Across New York), what is Robin’s surname?",text,Rainey,"[""[\""Rainey\""]""]",two_strangers_carry_a_cake_across_new_york,general,text,fact_value,direct_fact,Robin’s full name is Robin Rainey.,4003,Two Strangers (Carry a Cake Across New York)
4003-024,PICTURE: This is a publicity photo of Robin in London. What is the actor’s name?,text,Dujonna Gift,"[""[\""Dujonna Gift\""]""]",two_strangers_carry_a_cake_across_new_york,picture,image,performer_name,cast_headshot,Dujonna Gift played Robin in the London production.,4003,Two Strangers (Carry a Cake Across New York)
4004-004,"In The Curious Case of Benjamin Button, what is the name of Benjamin’s love interest?",text,Elowen,"[""[\""Elowen\"", \""Elowen Keene\""]""]",the_curious_case_of_benjamin_button,general,text,fact_value,direct_fact,Elowen Keene is Benjamin’s love interest.,4004,The Curious Case of Benjamin Button
4004-012,In which year did The Curious Case of Benjamin Button have its world premiere at Southwark Playhouse?,text,2019,"[""[\""2019\""]""]",null,general,null,null,null,The musical premiered at Southwark Playhouse in 2019.,4004,The Curious Case of Benjamin Button
4004-023,PICTURE: This is a West End publicity photo of Benjamin. What is the actor’s name?,text,John Dagleish,"[""[\""John Dagleish\""]""]",null,picture,null,null,null,John Dagleish played Benjamin Button in the West End production.,4004,The Curious Case of Benjamin Button
4004-025,PICTURE: This is a photo of the actor playing Elowen. What is the actor’s name?,text,Clare Foster,"[""[\""Clare Foster\""]""]",null,picture,null,null,null,Clare Foster played Elowen in the West End production.,4004,The Curious Case of Benjamin Button
disney-260215-041,Name the Sherman Brothers (first and last names).,text,Richard M. Sherman and Robert B. Sherman,"[""[\""Richard Sherman and Robert Sherman\"", \""Robert Sherman and Richard Sherman\"", \""Richard M. Sherman and Robert B. Sherman\"", \""Robert B. Sherman and Richard M. Sherman\"", \""The Sherman Brothers\""]""]",null,general,null,null,null,They are the brothers who wrote the songs for Mary Poppins (1964).,disney-260215,Disney Musicals
disney-260215-042,Who wrote the lyrics for the stage musical Newsies?,text,Jack Feldman,"[""[\""Jack Feldman\"", \""Feldman\""]""]",null,general,null,null,null,"Jack Feldman wrote the lyrics, with music by Alan Menken.",disney-260215,Disney Musicals
disney-260215-043,"In Aida, what is the name of the Egyptian princess who becomes Aida's rival and friend?",text,Amneris,"[""[\""Amneris\""]""]",null,general,null,null,null,Amneris is the Egyptian princess in Disney’s Aida.,disney-260215,Disney Musicals
disney-260215-044,"In Frozen, what is the name of the kingdom where the story is set?",text,Arendelle,"[""[\""Arendelle\""]""]",null,general,null,null,null,Arendelle is the kingdom in Frozen.,disney-260215,Disney Musicals
disney-260215-045,What is the title of Frozen's Academy Award winning song (Best Original Song)?,text,Let It Go,"[""[\""Let It Go\"", \""Let It Go (Frozen)\""]""]",null,general,null,null,null,"""Let It Go"" won the Academy Award for Best Original Song.",disney-260215,Disney Musicals
disney-260215-046,Who wrote the lyrics for the film songs in The Lion King (1994)?,text,Tim Rice,"[""[\""Tim Rice\"", \""Rice\""]""]",null,general,null,null,null,Tim Rice wrote the lyrics for the film’s songs.,disney-260215,Disney Musicals
disney-260215-047,What is the opening number of The Lion King stage musical?,text,Circle of Life,"[""[\""Circle of Life\"", \""The Circle of Life\""]""]",null,general,null,null,null,"""Circle of Life"" opens the stage show.",disney-260215,Disney Musicals
disney-260215-048,"What is the title of Moana's big ""edge of the water"" song?",text,How Far I'll Go,"[""[\""How Far I'll Go\"", \""How Far I'll Go (Moana)\""]""]",null,general,null,null,null,"""How Far I'll Go"" is Moana’s key solo.",disney-260215,Disney Musicals
disney-260215-049,Who wrote the music for the songs in Mulan (1998)?,text,Matthew Wilder,"[""[\""Matthew Wilder\"", \""Wilder\""]""]",null,general,null,null,null,Matthew Wilder wrote the music for Mulan’s songs (with lyrics by David Zippel).,disney-260215,Disney Musicals
disney-260215-050,Who wrote the book for the stage musical Tarzan?,text,David Henry Hwang,"[""[\""David Henry Hwang\"", \""Hwang\""]""]",null,general,null,null,null,David Henry Hwang wrote the book for Tarzan (musical).,disney-260215,Disney Musicals
lyric_song_titles_text__42nd_street__lullaby_of_broadway__v1,"Which musical theatre song contains these lyrics?

The rumble of the subway train,
The rattle of the taxis.
The daffy-dills who entertain
At Angelo's and Maxie's.",text,Lullaby of Broadway,null,42nd_street,general,text,song_title,lyric_excerpt,"The correct answer is ""Lullaby of Broadway"" from 42nd Street.",,
lyric_song_titles_text__42nd_street__we_re_in_the_money__v1,"Name the musical theatre song from these lyrics.

Let's spend it, lend it,
Send it rolling around!",text,We're in the Money,null,42nd_street,general,text,song_title,lyric_excerpt,"The correct answer is ""We're in the Money"" from 42nd Street.",,
lyric_song_titles_text__9_to_5__9_to_5__v1,"Which show tune includes these lyrics?

They just use your mind
And they never give you credit",text,9 to 5,null,9_to_5,general,text,song_title,lyric_excerpt,"The correct answer is ""9 to 5"" from 9 to 5.",,
lyric_song_titles_text__9_to_5__backwoods_barbie__v1,"Identify the musical theatre song from this lyric extract.

Now, I've always been misunderstood because of how I look.
Don't judge me by the cover, cause I'm a real good book",text,Backwoods Barbie,null,9_to_5,general,text,song_title,lyric_excerpt,"The correct answer is ""Backwoods Barbie"" from 9 to 5.",,
lyric_song_titles_text__a_chorus_line__at_the_ballet__v1,"What is the title of the song containing these lyrics?

Life with my dad wasn't ever a picnic
More like a ""Come as you are.""",text,At the Ballet,null,a_chorus_line,general,text,song_title,lyric_excerpt,"The correct answer is ""At the Ballet"" from A Chorus Line.",,
lyric_song_titles_text__a_chorus_line__dance_ten_looks_three__v1,"Which musical theatre song contains these lyrics?

Didn't cost a fortune neither.
Didn't hurt my sex life either.",text,"Dance Ten, Looks Three",null,a_chorus_line,general,text,song_title,lyric_excerpt,"The correct answer is ""Dance Ten, Looks Three"" from A Chorus Line.",,
lyric_song_titles_text__a_chorus_line__nothing__v1,"Name the musical theatre song from these lyrics.

And I dug right down to the bottom of my soul
To see what I had inside.",text,Nothing,null,a_chorus_line,general,text,song_title,lyric_excerpt,"The correct answer is ""Nothing"" from A Chorus Line.",,
lyric_song_titles_text__a_chorus_line__one__v1,"Which show tune includes these lyrics?

Ooh! Sigh! Give her your attention.
Do I really have to mention",text,One,null,a_chorus_line,general,text,song_title,lyric_excerpt,"The correct answer is ""One"" from A Chorus Line.",,
lyric_song_titles_text__a_chorus_line__what_i_did_for_love__v1,"Identify the musical theatre song from this lyric extract.

Kiss today goodbye,
The sweetness and the sorrow.",text,What I Did for Love,null,a_chorus_line,general,text,song_title,lyric_excerpt,"The correct answer is ""What I Did for Love"" from A Chorus Line.",,
lyric_song_titles_text__a_funny_thing_happened_on_the_way_to_the_forum__comedy_tonight__v1,"What is the title of the song containing these lyrics?

Nothing with kings, nothing with crowns;
Bring on the lovers, liars and clowns!",text,Comedy Tonight,null,a_funny_thing_happened_on_the_way_to_the_forum,general,text,song_title,lyric_excerpt,"The correct answer is ""Comedy Tonight"" from A Funny Thing Happened on the Way to the Forum.",,
lyric_song_titles_text__a_funny_thing_happened_on_the_way_to_the_forum__everybody_ought_to_have_a_maid__v1,"Which musical theatre song contains these lyrics?

Fluttering up the stairway,
Shuttering up the windows,
Cluttering up the bedroom,
Buttering up the master...",text,Everybody Ought To Have A Maid,null,a_funny_thing_happened_on_the_way_to_the_forum,general,text,song_title,lyric_excerpt,"The correct answer is ""Everybody Ought To Have A Maid"" from A Funny Thing Happened on the Way to the Forum.",,
lyric_song_titles_text__a_little_night_music__a_weekend_in_the_country__v1,"Name the musical theatre song from these lyrics.

And the shooting should be pleasant
If the weather's not too rough.
Happy birthday, it's your present.
You haven't been getting out nearly enough.",text,A Weekend In The Country,null,a_little_night_music,general,text,song_title,lyric_excerpt,"The correct answer is ""A Weekend In The Country"" from A Little Night Music.",,
lyric_song_titles_text__a_little_night_music__liaisons__v1,"Which show tune includes these lyrics?

At the villa of the Baron De Signac,
Where I spent a somewhat infamous year,",text,Liaisons,null,a_little_night_music,general,text,song_title,lyric_excerpt,"The correct answer is ""Liaisons"" from A Little Night Music.",,
lyric_song_titles_text__a_little_night_music__send_in_the_clowns__v1,"What is the title of the song containing these lyrics?

Just when I'd stopped opening doors,
Finally knowing the one that I wanted was yours,",text,Send In The Clowns,null,a_little_night_music,general,text,song_title,lyric_excerpt,"The correct answer is ""Send In The Clowns"" from A Little Night Music.",,
lyric_song_titles_text__a_little_night_music__the_miller_s_son__v1,"Which musical theatre song contains these lyrics?

It's a very short road
From the pinch and the punch
To the paunch and the pouch
And the pension.",text,The Miller's Son,null,a_little_night_music,general,text,song_title,lyric_excerpt,"The correct answer is ""The Miller's Son"" from A Little Night Music.",,
lyric_song_titles_text__a_little_night_music__you_must_meet_my_wife__v1,"Identify the musical theatre song from this lyric extract.

Let me get my hat and my knife!",text,You Must Meet My Wife,null,a_little_night_music,general,text,song_title,lyric_excerpt,"The correct answer is ""You Must Meet My Wife"" from A Little Night Music.",,
lyric_song_titles_text__aladdin__a_whole_new_world__v1,"Name the musical theatre song from these lyrics.

But when I'm way up here, it's crystal clear",text,A Whole New World,null,aladdin,general,text,song_title,lyric_excerpt,"The correct answer is ""A Whole New World"" from Aladdin.",,
lyric_song_titles_text__aladdin__friend_like_me__v1,"Which show tune includes these lyrics?

Life is your restaurant
And I'm your maitre d'",text,Friend Like Me,null,aladdin,general,text,song_title,lyric_excerpt,"The correct answer is ""Friend Like Me"" from Aladdin.",,
lyric_song_titles_text__anastasia__journey_to_the_past__v1,"Identify the musical theatre song from this lyric extract.

Heart, don't fail me now.
Courage, don't desert me.",text,Journey to the Past,null,anastasia,general,text,song_title,lyric_excerpt,"The correct answer is ""Journey to the Past"" from Anastasia.",,
lyric_song_titles_text__anastasia__once_upon_a_december__v1,"What is the title of the song containing these lyrics?

Dancing bears,
Painted wings,
Things I almost remember,",text,Once Upon a December,null,once,general,text,song_title,lyric_excerpt,"The correct answer is ""Once Upon a December"" from Anastasia.",,
lyric_song_titles_text__annie__it_s_the_hard_knock_life__v1,"Which musical theatre song contains these lyrics?

Instead of kisses
We get kicked!",text,It's the Hard Knock Life,null,annie,general,text,song_title,lyric_excerpt,"The correct answer is ""It's the Hard Knock Life"" from Annie.",,
lyric_song_titles_text__annie__maybe__v1,"Name the musical theatre song from these lyrics.

Betcha they're young
Betcha they're smart",text,Maybe,null,annie,general,text,song_title,lyric_excerpt,"The correct answer is ""Maybe"" from Annie.",,
lyric_song_titles_text__annie__nyc__v1,"Which show tune includes these lyrics?

The city's bright
As a penny arcade
It blinks, it tilts, it rings",text,NYC,null,annie,general,text,song_title,lyric_excerpt,"The correct answer is ""NYC"" from Annie.",,
lyric_song_titles_text__annie__tomorrow__v1,"Identify the musical theatre song from this lyric extract.

When I'm stuck with a day
That's gray, and lonely",text,Tomorrow,null,annie,general,text,song_title,lyric_excerpt,"The correct answer is ""Tomorrow"" from Annie.",,
lyric_song_titles_text__annie_get_your_gun__anything_you_can_do__v1,"What is the title of the song containing these lyrics?

I can get a sparrow
With a bow and arrow.",text,Anything You Can Do,null,annie,general,text,song_title,lyric_excerpt,"The correct answer is ""Anything You Can Do"" from Annie Get Your Gun.",,
lyric_song_titles_text__annie_get_your_gun__moonshine_lullaby__v1,"Which musical theatre song contains these lyrics?

Behind the hill
There's a busy little still
Where your Pappy's workin' in the moonlight",text,Moonshine Lullaby,null,annie,general,text,song_title,lyric_excerpt,"The correct answer is ""Moonshine Lullaby"" from Annie Get Your Gun.",,
lyric_song_titles_text__annie_get_your_gun__there_s_no_business_like_show_business__v1,"Name the musical theatre song from these lyrics.

Traveling through the country is so thrilling
Standing out in front on opening nights",text,There's No Business Like Show Business,null,annie,general,text,song_title,lyric_excerpt,"The correct answer is ""There's No Business Like Show Business"" from Annie Get Your Gun.",,
lyric_song_titles_text__annie_get_your_gun__you_can_t_get_a_man_with_a_gun__v1,"Which show tune includes these lyrics?

But a man never trifles
With gals who carry rifles",text,You Can't Get a Man With a Gun,null,annie,general,text,song_title,lyric_excerpt,"The correct answer is ""You Can't Get a Man With a Gun"" from Annie Get Your Gun.",,
lyric_song_titles_text__anything_goes__anything_goes__v1,"Identify the musical theatre song from this lyric extract.

Times have changed,
And we've often rewound the clock,",text,Anything Goes,null,anything_goes,general,text,song_title,lyric_excerpt,"The correct answer is ""Anything Goes"" from Anything Goes.",,
lyric_song_titles_text__anything_goes__blow_gabriel_blow__v1,"What is the title of the song containing these lyrics?

Come on you scamps, get up you sinners!
You're all too full of expensive dinners.",text,"Blow, Gabriel, Blow",null,anything_goes,general,text,song_title,lyric_excerpt,"The correct answer is ""Blow, Gabriel, Blow"" from Anything Goes.",,
lyric_song_titles_text__anything_goes__i_get_a_kick_out_of_you__v1,"Which musical theatre song contains these lyrics?

Mere alcohol doesn't thrill me at all",text,I Get a Kick Out of You,null,anything_goes,general,text,song_title,lyric_excerpt,"The correct answer is ""I Get a Kick Out of You"" from Anything Goes.",,
lyric_song_titles_text__anything_goes__you_re_the_top__v1,"Name the musical theatre song from these lyrics.

But I got a notion
I'll second the motion",text,You're the Top,null,anything_goes,general,text,song_title,lyric_excerpt,"The correct answer is ""You're the Top"" from Anything Goes.",,
lyric_song_titles_text__assassins__another_national_anthem__v1,"Which show tune includes these lyrics?

The delivery boy's on Wall Street,
And the the usherette's a rock star",text,Another National Anthem,null,assassins,general,text,song_title,lyric_excerpt,"The correct answer is ""Another National Anthem"" from Assassins.",,
lyric_song_titles_text__assassins__ballad_of_czolgosz__v1,"Identify the musical theatre song from this lyric extract.

In the U.S.A.
You can work your way
To the head of the line!""",text,Ballad of Czolgosz,null,assassins,general,text,song_title,lyric_excerpt,"The correct answer is ""Ballad of Czolgosz"" from Assassins.",,
lyric_song_titles_text__assassins__everybody_s_got_the_right__v1,"What is the title of the song containing these lyrics?

Hey, pal- feelin' blue?
Don't know what to do?",text,Everybody's Got the Right,null,assassins,general,text,song_title,lyric_excerpt,"The correct answer is ""Everybody's Got the Right"" from Assassins.",,
lyric_song_titles_text__assassins__unworthy_of_your_love__v1,"Which musical theatre song contains these lyrics?

I am nothing,
You are wind and devil and God",text,Unworthy of Your Love,null,assassins,general,text,song_title,lyric_excerpt,"The correct answer is ""Unworthy of Your Love"" from Assassins.",,
lyric_song_titles_text__avenue_q__everyone_s_a_little_bit_racist__v1,"Name the musical theatre song from these lyrics.

Look around and you will find
No one's really colour blind.",text,Everyone's A Little Bit Racist,null,avenue_q,general,text,song_title,lyric_excerpt,"The correct answer is ""Everyone's A Little Bit Racist"" from Avenue Q.",,
lyric_song_titles_text__avenue_q__if_you_were_gay__v1,"Which show tune includes these lyrics?

You can count on me
To always be
Beside you every day",text,If You Were Gay,null,avenue_q,general,text,song_title,lyric_excerpt,"The correct answer is ""If You Were Gay"" from Avenue Q.",,
lyric_song_titles_text__avenue_q__there_s_a_fine_fine_line__v1,"Identify the musical theatre song from this lyric extract.

I guess if someone doesn't love you back it isn't such a crime,",text,"There's a Fine, Fine Line",null,avenue_q,general,text,song_title,lyric_excerpt,"The correct answer is ""There's a Fine, Fine Line"" from Avenue Q.",,
lyric_song_titles_text__baby__i_want_it_all__v1,"What is the title of the song containing these lyrics?

I wanna know that I can find inside me anyone I need
I wanna be Donna McKechnie, Donna Summer, Donna Reed",text,I Want It All,null,baby,general,text,song_title,lyric_excerpt,"The correct answer is ""I Want It All"" from Baby.",,
lyric_song_titles_text__baby__story_goes_on__v1,"Which musical theatre song contains these lyrics?

And all these things I feel and more
My mother's mother felt and hers before",text,Story Goes On,null,baby,general,text,song_title,lyric_excerpt,"The correct answer is ""Story Goes On"" from Baby.",,
lyric_song_titles_text__baby__what_could_be_better__v1,"Name the musical theatre song from these lyrics.

Your sense of mission, my sense of duty
Your disposition my inner beauty",text,What Could Be Better,null,baby,general,text,song_title,lyric_excerpt,"The correct answer is ""What Could Be Better"" from Baby.",,
lyric_song_titles_text__ballad_lines__prologue__v1,"Which show tune includes these lyrics?

Oh women of earth, wind and flame
Born under changin' skies",text,Prologue,null,ballad_lines,general,text,song_title,lyric_excerpt,"The correct answer is ""Prologue"" from Ballad Lines.",,
lyric_song_titles_text__ballad_lines__secondhand_shame__v1,"Identify the musical theatre song from this lyric extract.

I've moved on
This is the happiest home
Of all the homes I can remember",text,Secondhand Shame,null,ballad_lines,general,text,song_title,lyric_excerpt,"The correct answer is ""Secondhand Shame"" from Ballad Lines.",,
lyric_song_titles_text__barnum__come_follow_the_band__v1,"What is the title of the song containing these lyrics?

Up out of your seat
Down off of the stand
Step out to the sweet beat the bugle plays",text,Come Follow The Band,null,barnum,general,text,song_title,lyric_excerpt,"The correct answer is ""Come Follow The Band"" from Barnum.",,
lyric_song_titles_text__barnum__the_colors_of_my_life__v1,"Which musical theatre song contains these lyrics?

No quiet browns and grays,
I'll take my days instead
And fill them till they overflow
With rose and cherry red!",text,The Colors Of My Life,null,barnum,general,text,song_title,lyric_excerpt,"The correct answer is ""The Colors Of My Life"" from Barnum.",,
lyric_song_titles_text__be_more_chill__i_love_play_rehearsal__v1,"Name the musical theatre song from these lyrics.

I have mad, gigantic feelings,
Red and frantic feelings,
About most everything",text,I Love Play Rehearsal,null,be_more_chill,general,text,song_title,lyric_excerpt,"The correct answer is ""I Love Play Rehearsal"" from Be More Chill.",,
lyric_song_titles_text__be_more_chill__michael_in_the_bathroom__v1,"Which show tune includes these lyrics?

But I'd rather fake pee than stand awkwardly
Or pretend to check a text on my phone",text,Michael in the Bathroom,null,be_more_chill,general,text,song_title,lyric_excerpt,"The correct answer is ""Michael in the Bathroom"" from Be More Chill.",,
lyric_song_titles_text__beauty_and_the_beast__be_our_guest__v1,"Identify the musical theatre song from this lyric extract.

They can sing, they can dance
After all, Miss, this is France",text,Be Our Guest,null,beauty_and_the_beast,general,text,song_title,lyric_excerpt,"The correct answer is ""Be Our Guest"" from Beauty and the Beast.",,
lyric_song_titles_text__beauty_and_the_beast__beauty_and_the_beast__v1,"What is the title of the song containing these lyrics?

Certain as the sun
Rising in the east",text,Beauty and the Beast,null,beauty_and_the_beast,general,text,song_title,lyric_excerpt,"The correct answer is ""Beauty and the Beast"" from Beauty and the Beast.",,
lyric_song_titles_text__billy_elliot__electricity__v1,"Which musical theatre song contains these lyrics?

It's like that there's a music, playing in your ear
And I'm listening, and I'm listening, and then I disappear",text,Electricity,null,billy_elliot,general,text,song_title,lyric_excerpt,"The correct answer is ""Electricity"" from Billy Elliot.",,
lyric_song_titles_text__billy_elliot__expressing_yourself__v1,"Name the musical theatre song from these lyrics.

What is wrong with dressing up in satin and lace?
Get some earrings, some mascara, heels and a fan.",text,Expressing Yourself,null,billy_elliot,general,text,song_title,lyric_excerpt,"The correct answer is ""Expressing Yourself"" from Billy Elliot.",,
lyric_song_titles_text__billy_elliot__letter__v1,"Which show tune includes these lyrics?

Missed your stamping and your shouting
I have missed telling you off",text,Letter,null,billy_elliot,general,text,song_title,lyric_excerpt,"The correct answer is ""Letter"" from Billy Elliot.",,
lyric_song_titles_text__blood_brothers__bright_new_day__v1,"Identify the musical theatre song from this lyric extract.

Where we can begin again,
Feel we can win and then
Live just like livin' should be.",text,Bright New Day,null,blood_brothers,general,text,song_title,lyric_excerpt,"The correct answer is ""Bright New Day"" from Blood Brothers.",,
lyric_song_titles_text__blood_brothers__easy_terms__v1,"What is the title of the song containing these lyrics?

Living on the never never,
Constant as the changing weather",text,Easy Terms,null,blood_brothers,general,text,song_title,lyric_excerpt,"The correct answer is ""Easy Terms"" from Blood Brothers.",,
lyric_song_titles_text__blood_brothers__i_m_not_saying_a_word__v1,"Which musical theatre song contains these lyrics?

I'd take a page in all the papers
I'd announce it in the news
If it was the guy, if I was in his shoes",text,I'm Not Saying a Word,null,blood_brothers,general,text,song_title,lyric_excerpt,"The correct answer is ""I'm Not Saying a Word"" from Blood Brothers.",,
