id,question_text,answer_type,answer_text,accepted_answers,primary_show_key,round_type,media_type,prompt_target,clue_source,explanation,pack_ids,pack_names
lyric_song_titles_text__blood_brothers__marilyn_monroe__v1,"Name the musical theatre song from these lyrics.

By the time I was twenty-five
I looked like forty-two
With seven hungry mouths to feed
And one more nearly due",text,Marilyn Monroe,null,blood_brothers,general,text,song_title,lyric_excerpt,"The correct answer is ""Marilyn Monroe"" from Blood Brothers.",,
lyric_song_titles_text__blood_brothers__tell_me_it_s_not_true__v1,"Which show tune includes these lyrics?

Say it's just two clowns,
Who couldn't get their lines right",text,Tell Me It's Not True,null,blood_brothers,general,text,song_title,lyric_excerpt,"The correct answer is ""Tell Me It's Not True"" from Blood Brothers.",,
lyric_song_titles_text__cabaret__cabaret__v1,"Identify the musical theatre song from this lyric extract.

Put down the knitting, the book and the broom
It's time for a holiday",text,Cabaret,null,cabaret,general,text,song_title,lyric_excerpt,"The correct answer is ""Cabaret"" from Cabaret.",,
lyric_song_titles_text__cabaret__maybe_this_time__v1,"What is the title of the song containing these lyrics?

He will hold me fast
I'll be home at last",text,Maybe this Time,null,cabaret,general,text,song_title,lyric_excerpt,"The correct answer is ""Maybe this Time"" from Cabaret.",,
lyric_song_titles_text__camelot__if_ever_i_would_leave_you__v1,"Which musical theatre song contains these lyrics?

I've seen how you sparkle
When fall nips the air.
I know you in autumn
And I must be there.",text,If Ever I Would Leave You,null,camelot,general,text,song_title,lyric_excerpt,"The correct answer is ""If Ever I Would Leave You"" from Camelot.",,
lyric_song_titles_text__candide__glitter_and_be_gay__v1,"Name the musical theatre song from these lyrics.

Pearls and ruby rings...
Ah, how can worldly things
Take the place of honour lost?",text,Glitter And Be Gay,null,candide,general,text,song_title,lyric_excerpt,"The correct answer is ""Glitter And Be Gay"" from Candide.",,
lyric_song_titles_text__carousel__if_i_loved_you__v1,"Which show tune includes these lyrics?

Words wouldn't come in an easy way
Round in circles I'd go!",text,If I Loved You,null,carousel,general,text,song_title,lyric_excerpt,"The correct answer is ""If I Loved You"" from Carousel.",,
lyric_song_titles_text__carousel__june_is_bustin_out_all_over__v1,"Identify the musical theatre song from this lyric extract.

March went out like a lion
A-whippin' up the water in the bay
Then April cried and stepped aside,
And along come pretty little May!",text,June Is Bustin' Out All Over,null,carousel,general,text,song_title,lyric_excerpt,"The correct answer is ""June Is Bustin' Out All Over"" from Carousel.",,
lyric_song_titles_text__carousel__you_ll_never_walk_alone__v1,"What is the title of the song containing these lyrics?

At the end of the storm
Is a golden sky",text,You'll Never Walk Alone,null,carousel,general,text,song_title,lyric_excerpt,"The correct answer is ""You'll Never Walk Alone"" from Carousel.",,
lyric_song_titles_text__cats__bustopher_jones__v1,"Which musical theatre song contains these lyrics?

He's the cat we all greet as he walks down the street
In his coat of fastidious black",text,Bustopher Jones,null,cats,general,text,song_title,lyric_excerpt,"The correct answer is ""Bustopher Jones"" from Cats.",,
lyric_song_titles_text__cats__macavity_the_mystery_cat__v1,"Name the musical theatre song from these lyrics.

He's broken every human law
He breaks the law of gravity",text,Macavity The Mystery Cat,null,cats,general,text,song_title,lyric_excerpt,"The correct answer is ""Macavity The Mystery Cat"" from Cats.",,
lyric_song_titles_text__cats__memory__v1,"Which show tune includes these lyrics?

Burnt out ends of smoky days
The stale, cold smell of morning",text,Memory,null,cats,general,text,song_title,lyric_excerpt,"The correct answer is ""Memory"" from Cats.",,
lyric_song_titles_text__cats__mr_mistoffelees__v1,"Identify the musical theatre song from this lyric extract.

He can pick any card from a pack
He is equally cunning with dice",text,Mr. Mistoffelees,null,cats,general,text,song_title,lyric_excerpt,"The correct answer is ""Mr. Mistoffelees"" from Cats.",,
lyric_song_titles_text__chess__anthem__v1,"What is the title of the song containing these lyrics?

And you ask me why I love her
Through wars, death and despair",text,Anthem,null,chess,general,text,song_title,lyric_excerpt,"The correct answer is ""Anthem"" from Chess.",,
lyric_song_titles_text__chess__i_know_him_so_well__v1,"Which musical theatre song contains these lyrics?

Wanting far too much for far too long.
Looking back I could have played it differently",text,I Know Him So Well,null,chess,general,text,song_title,lyric_excerpt,"The correct answer is ""I Know Him So Well"" from Chess.",,
lyric_song_titles_text__chess__nobody_s_side__v1,"Name the musical theatre song from these lyrics.

Everybody's playing the game
But nobody's rules are the same",text,Nobody's Side,null,chess,general,text,song_title,lyric_excerpt,"The correct answer is ""Nobody's Side"" from Chess.",,
lyric_song_titles_text__chess__one_night_in_bangkok__v1,"Which show tune includes these lyrics?

You'll find a god in every golden cloister
And if you're lucky then the god's a she
I can feel an angel sliding up to me",text,One Night in Bangkok,null,chess,general,text,song_title,lyric_excerpt,"The correct answer is ""One Night in Bangkok"" from Chess.",,
lyric_song_titles_text__chicago__all_that_jazz__v1,"Identify the musical theatre song from this lyric extract.

It's just a noisy hall
Where there's a nightly brawl",text,All That Jazz,null,chicago,general,text,song_title,lyric_excerpt,"The correct answer is ""All That Jazz"" from Chicago.",,
lyric_song_titles_text__chicago__cell_block_tango__v1,"What is the title of the song containing these lyrics?

Pop! Six! Squish! Uh uh! Cicero, Lipschitz!",text,Cell Block Tango,null,chicago,general,text,song_title,lyric_excerpt,"The correct answer is ""Cell Block Tango"" from Chicago.",,
lyric_song_titles_text__chicago__cell_block_tango__v2,"Which musical theatre song contains these lyrics?

If you'd have been there, if you'd have heard it
I betcha you would have done the same",text,Cell Block Tango,null,chicago,general,text,song_title,lyric_excerpt,"The correct answer is ""Cell Block Tango"" from Chicago.",,
lyric_song_titles_text__chicago__class__v1,"Name the musical theatre song from these lyrics.

Whatever happened to fair dealing?
And pure ethics?
And nice manners?",text,Class,null,chicago,general,text,song_title,lyric_excerpt,"The correct answer is ""Class"" from Chicago.",,
lyric_song_titles_text__chicago__mr_cellophane__v1,"Which show tune includes these lyrics?

If someone in the movie show
Yelled ""Fire in the second row",text,Mr. Cellophane,null,chicago,general,text,song_title,lyric_excerpt,"The correct answer is ""Mr. Cellophane"" from Chicago.",,
lyric_song_titles_text__chicago__razzle_dazzle__v1,"Identify the musical theatre song from this lyric extract.

What if your hinges all are rusting?
What if, in fact, you're just disgusting ?",text,Razzle Dazzle,null,chicago,general,text,song_title,lyric_excerpt,"The correct answer is ""Razzle Dazzle"" from Chicago.",,
lyric_song_titles_text__chicago__we_both_reached_for_the_gun__v1,"What is the title of the song containing these lyrics?

Though my choo-choo jumped my track
I'd give my life to bring him back",text,We Both Reached for the Gun,null,chicago,general,text,song_title,lyric_excerpt,"The correct answer is ""We Both Reached for the Gun"" from Chicago.",,
lyric_song_titles_text__chicago__when_you_re_good_to_mama__v1,"Which musical theatre song contains these lyrics?

They say that life is tit for tat
And that's the way I live",text,When You're Good to Mama,null,chicago,general,text,song_title,lyric_excerpt,"The correct answer is ""When You're Good to Mama"" from Chicago.",,
lyric_song_titles_text__closer_than_ever__life_story__v1,"Which show tune includes these lyrics?

So now my son's half way through college
I pay tuition like a fine",text,Life Story,null,closer_than_ever,general,text,song_title,lyric_excerpt,"The correct answer is ""Life Story"" from Closer Than Ever.",,
lyric_song_titles_text__closer_than_ever__miss_byrd__v1,"Identify the musical theatre song from this lyric extract.

At work I'm hardly seen
I come and go
But I know something that people don't know",text,Miss Byrd,null,closer_than_ever,general,text,song_title,lyric_excerpt,"The correct answer is ""Miss Byrd"" from Closer Than Ever.",,
lyric_song_titles_text__closer_than_ever__the_bear_the_tiger_the_hamster_and_the_mole__v1,"Name the musical theatre song from these lyrics.

The bitch, the vixen, the queen bee, and the shrew
What men have done to those fine words, we never can undo",text,"The Bear, the Tiger, the Hamster and the Mole",null,closer_than_ever,general,text,song_title,lyric_excerpt,"The correct answer is ""The Bear, the Tiger, the Hamster and the Mole"" from Closer Than Ever.",,
lyric_song_titles_text__come_from_away__welcome_to_the_rock__v1,"What is the title of the song containing these lyrics?

Welcome to the fog, welcome to the trees,
to the ocean and the sky, and whatever's in between.",text,Welcome to the Rock,null,come_from_away,general,text,song_title,lyric_excerpt,"The correct answer is ""Welcome to the Rock"" from Come From Away.",,
lyric_song_titles_text__company__another_hundred_people__v1,"Which musical theatre song contains these lyrics?

It's a city of strangers,
Some come to work, some to play.",text,Another Hundred People,null,company,general,text,song_title,lyric_excerpt,"The correct answer is ""Another Hundred People"" from Company.",,
lyric_song_titles_text__company__another_hundred_people__v2,"Name the musical theatre song from these lyrics.

Did you get my message? 'Cause I looked in vain.
Can we see each other Tuesday if it doesn't rain?",text,Another Hundred People,null,company,general,text,song_title,lyric_excerpt,"The correct answer is ""Another Hundred People"" from Company.",,
lyric_song_titles_text__company__being_alive__v1,"Which show tune includes these lyrics?

Someone you have to let in,
Someone whose feelings you spare",text,Being Alive,null,company,general,text,song_title,lyric_excerpt,"The correct answer is ""Being Alive"" from Company.",,
lyric_song_titles_text__company__being_alive__v2,"Identify the musical theatre song from this lyric extract.

I'll always be there,
As frightened as you,
To help us survive",text,Being Alive,null,company,general,text,song_title,lyric_excerpt,"The correct answer is ""Being Alive"" from Company.",,
lyric_song_titles_text__company__getting_married_today__v1,"What is the title of the song containing these lyrics?

But I thank you all
For the gifts and the flowers",text,Getting Married Today,null,company,general,text,song_title,lyric_excerpt,"The correct answer is ""Getting Married Today"" from Company.",,
lyric_song_titles_text__company__getting_married_today__v2,"Which musical theatre song contains these lyrics?

The heart sinks down and feels dead
This dreadful day.",text,Getting Married Today,null,company,general,text,song_title,lyric_excerpt,"The correct answer is ""Getting Married Today"" from Company.",,
lyric_song_titles_text__company__ladies_who_lunch__v1,"Name the musical theatre song from these lyrics.

Does anyone still wear a hat?",text,Ladies Who Lunch,null,company,general,text,song_title,lyric_excerpt,"The correct answer is ""Ladies Who Lunch"" from Company.",,
lyric_song_titles_text__company__ladies_who_lunch__v2,"Which show tune includes these lyrics?

Look into their eyes,
And you'll see what they know:
Everybody dies.",text,Ladies Who Lunch,null,company,general,text,song_title,lyric_excerpt,"The correct answer is ""Ladies Who Lunch"" from Company.",,
lyric_song_titles_text__company__marry_me_a_little__v1,"Identify the musical theatre song from this lyric extract.

Keep a tender distance
So we'll both be free",text,Marry Me a Little,null,company,general,text,song_title,lyric_excerpt,"The correct answer is ""Marry Me a Little"" from Company.",,
lyric_song_titles_text__company__sorry_grateful__v1,"What is the title of the song containing these lyrics?

Everything's different, nothing's changed.
Only maybe slightly rearranged.",text,Sorry-Grateful,null,company,general,text,song_title,lyric_excerpt,"The correct answer is ""Sorry-Grateful"" from Company.",,
modern-260215-051,Type the first name of the mayor of Gander in Come From Away.,text,Claude,"[""[\""Claude\"", \""Claude Elliott\""]""]",null,general,null,null,null,"In Come From Away, Claude is the mayor of Gander.",modern-260215,Modern Musicals
modern-260215-052,Type the name of Matilda's school.,text,Crunchem Hall,"[""[\""Crunchem Hall\"", \""Crunchem Hall Primary School\"", \""Crunchem Hall School\""]""]",null,general,null,null,null,"Matilda attends Crunchem Hall, run by Miss Trunchbull.",modern-260215,Modern Musicals
modern-260215-053,Type the first name of Alexander Hamilton's wife in Hamilton.,text,Eliza,"[""[\""Eliza\"", \""Eliza Hamilton\"", \""Elizabeth\"", \""Elizabeth Hamilton\"", \""Elizabeth Schuyler\"", \""Elizabeth Schuyler Hamilton\""]""]",null,general,null,null,null,Eliza (Elizabeth Schuyler Hamilton) is Alexander Hamilton's wife in Hamilton.,modern-260215,Modern Musicals
modern-260215-054,Type the title of the opening song in Six.,text,Ex-Wives,"[""[\""Ex-Wives\"", \""Ex Wives\"", \""Exwives\"", \""Exwives (Ex-Wives)\"", \""Ex-Wives (SIX)\""]""]",null,general,null,null,null,‘Ex-Wives' opens Six and introduces the queens.,modern-260215,Modern Musicals
modern-260215-055,Type the name of the mega-corporation that controls music in We Will Rock You.,text,Globalsoft,"[""[\""Globalsoft\"", \""Global Soft\""]""]",null,general,null,null,null,"In We Will Rock You, the Killer Queen runs Globalsoft.",modern-260215,Modern Musicals
modern-260215-056,Which musical is named after the codename of the WWII deception plan in which British intelligence used a dead man with planted documents to mislead the Axis about an Allied invasion.,text,Operation Mincemeat,"[""[\""Operation Mincemeat\"", \""Operation Mincemeat: A New Musical\"", \""Mincemeat\""]""]",null,general,null,null,null,The musical dramatises the real Operation Mincemeat deception.,modern-260215,Modern Musicals
modern-260215-057,Type the name of the green-skinned witch who becomes the Wicked Witch of the West.,text,Elphaba,"[""[\""Elphaba\"", \""Elphaba Thropp\""]""]",null,general,null,null,null,Wicked follows Elphaba's story before The Wizard of Oz.,modern-260215,Modern Musicals
modern-260215-058,Type the name of Charlie's family business in Kinky Boots (as written on the sign).,text,Price & Son,"[""[\""Price & Son\"", \""Price and Son\"", \""Price & Sons\"", \""Price and Sons\""]""]",null,general,null,null,null,Charlie inherits the shoe factory Price & Son.,modern-260215,Modern Musicals
modern-260215-059,Type the first name of the young writer who is the male lead in Moulin Rouge! The Musical.,text,Christian,"[""[\""Christian\""]""]",null,general,null,null,null,Christian is the young writer who falls for Satine in Moulin Rouge! The Musical.,modern-260215,Modern Musicals
modern-260215-060,Type the title of the musical by Tom Kitt and Brian Yorkey that won the Pulitzer Prize for Drama.,text,Next to Normal,"[""[\""Next to Normal\"", \""Next 2 Normal\"", \""Next-to-Normal\"", \""NTN\""]""]",null,general,null,null,null,Next to Normal won the Pulitzer Prize for Drama and explores a family living with mental illness.,modern-260215,Modern Musicals
modern-260215-076,AUDIO: Type the musical this clip comes from.,text,Jersey Boys,"[""[\""Jersey Boys\""]""]",null,audio,null,null,null,This clip comes from Jersey Boys.,modern-260215,Modern Musicals
modern-260215-077,AUDIO: Type the title of the musical that this Queen song appears in as part of the story.,text,We Will Rock You,"[""[\""We Will Rock You\"", \""WWRY\""]""]",null,audio,null,null,null,We Will Rock You is the jukebox musical built around Queen's catalogue.,modern-260215,Modern Musicals
modern-260215-078,AUDIO: Type the musical this clip comes from.,text,Bat Out of Hell,"[""[\""Bat Out of Hell\"", \""Bat Out of Hell: The Musical\""]""]",null,audio,null,null,null,This clip comes from Bat Out of Hell: The Musical.,modern-260215,Modern Musicals
modern-260215-079,AUDIO: Type the musical this clip comes from.,text,Operation Mincemeat,"[""[\""Operation Mincemeat\"", \""Operation Mincemeat: A New Musical\"", \""Operation Mincemeat: The Musical\""]""]",null,audio,null,null,null,This clip comes from Operation Mincemeat.,modern-260215,Modern Musicals
modern-260215-080,AUDIO: Type the musical this clip comes from.,text,Next to Normal,"[""[\""Next to Normal\"", \""NTN\""]""]",null,audio,null,null,null,This clip comes from Next to Normal.,modern-260215,Modern Musicals
modern-260215-096,PICTURE: Type the title of the musical shown in this picture.,text,Aladdin,"[""[\""Aladdin\"", \""Disney's Aladdin\"", \""Disney's Aladdin\""]""]",null,picture,null,null,null,This image is from Aladdin.,modern-260215,Modern Musicals
modern-260215-097,PICTURE: Type the title of the musical shown in this picture.,text,The Prince of Egypt,"[""[\""The Prince of Egypt\"", \""Prince of Egypt\""]""]",null,picture,null,null,null,This image is from The Prince of Egypt.,modern-260215,Modern Musicals
modern-260215-098,PICTURE: Type the title of the musical shown in this picture.,text,Billy Elliot,"[""[\""Billy Elliot\"", \""Billy Elliot the Musical\""]""]",null,picture,null,null,null,This image is from Billy Elliot the Musical.,modern-260215,Modern Musicals
modern-260215-099,PICTURE: Type the title of the musical shown in this picture.,text,Jersey Boys,"[""[\""Jersey Boys\""]""]",null,picture,null,null,null,This image is from Jersey Boys.,modern-260215,Modern Musicals
modern-260215-100,PICTURE: Type the title of the musical shown in this picture.,text,Bat Out of Hell,"[""[\""Bat Out of Hell\"", \""Bat Out of Hell: The Musical\""]""]",null,picture,null,null,null,This image is from Bat Out of Hell: The Musical.,modern-260215,Modern Musicals
sondheim-260217-005,"In Company, the dance piece ""Tick-Tock"" is associated with which character?",text,Kathy,"[""Kathy""]",null,general,null,null,null,"""Tick-Tock"" is an instrumental dance associated with Kathy in Company.",sondheim-260217,Sondheim
sondheim-260217-010,West Side Story: who wrote the music (with Sondheim as lyricist)?,text,Leonard Bernstein,"[""Leonard Bernstein"",""Bernstein""]",null,general,null,null,null,West Side Story's music is by Leonard Bernstein.,sondheim-260217,Sondheim
sondheim-260217-012,"In A Funny Thing Happened on the Way to the Forum, what is the name of the scheming slave protagonist?",text,Pseudolus,"[""Pseudolus""]",null,general,null,null,null,Pseudolus is the central scheming slave in Forum.,sondheim-260217,Sondheim
sondheim-260217-018,A Little Night Music is based on which Ingmar Bergman film?,text,Smiles of a Summer Night,"[""Smiles of a Summer Night"",""Smiles of Summer Night""]",null,general,null,null,null,A Little Night Music is based on Bergman's film Smiles of a Summer Night.,sondheim-260217,Sondheim
sondheim-260217-020,"In A Little Night Music, which character sings the comic show-stopper ""The Miller's Son""?",text,Petra,"[""Petra""]",null,general,null,null,null,"Petra sings ""The Miller's Son"".",sondheim-260217,Sondheim
sondheim-260217-025,"In Follies, which character sings ""Broadway Baby""?",text,Hattie Walker,"[""Hattie Walker"",""Hattie""]",null,general,null,null,null,"""Broadway Baby"" is sung by Hattie Walker in Follies.",sondheim-260217,Sondheim
sondheim-260217-030,What is the full name of Frank Shepard's lyricist friend in Merrily We Roll Along?,text,Charley Kringas,"[""Charley Kringas"",""Charlie Kringas"",""Charles Kringas""]",null,general,null,null,null,Frank's closest collaborator is Charley Kringas.,sondheim-260217,Sondheim
sondheim-260217-035,Into the Woods: name ONE of the four items the Witch demands to lift the curse.,text,cow as white as milk,"[""cow as white as milk"",""white cow"",""cape as red as blood"",""red cape"",""slipper as pure as gold"",""gold slipper"",""hair as yellow as corn"",""yellow hair""]",null,general,null,null,null,"The Witch demands four items: cow, red cape, golden slipper, and yellow hair.",sondheim-260217,Sondheim
sondheim-260217-040,Who painted A Sunday Afternoon on the Island of La Grande Jatte?,text,Georges Seurat,"[""Georges Seurat"",""George Seurat"",""Seurat""]",null,general,null,null,null,The painting is by Georges Seurat.,sondheim-260217,Sondheim
sondheim-260217-045,Which museum holds Seurat's painting A Sunday Afternoon on the Island of La Grande Jatte?,text,Art Institute of Chicago,"[""Art Institute of Chicago"",""The Art Institute of Chicago"",""AIC""]",null,general,null,null,null,The painting is in the Art Institute of Chicago's collection.,sondheim-260217,Sondheim
sondheim-260217-050,Which Sondheim-written film song won the Oscar for Best Original Song and is often listed as 'Sooner or Later (I Always Get My Man)'?,text,Sooner or Later (I Always Get My Man),"[""Sooner or Later"",""Sooner or Later (I Always Get My Man)"",""I Always Get My Man""]",null,general,null,null,null,"Sondheim won the Academy Award for ""Sooner or Later (I Always Get My Man)"" from Dick Tracy.",sondheim-260217,Sondheim
sondheim-260217-054,In Sweeney Todd  what is the name of the young sailor who falls in love with Johanna?,text,Anthony Hope,"[""Anthony Hope"",""Anthony"",""Antony"",""Antony Hope""]",null,general,null,null,null,Anthony Hope is the sailor who falls for Johanna.,sondheim-260217,Sondheim
sondheim-260217-058,What is the title of the duet in Sweeney Todd where Todd and Mrs Lovett joke about turning people into pie fillings?,text,A Little Priest,"[""A Little Priest"",""Little Priest""]",null,general,null,null,null,"The comic duet is ""A Little Priest"".",sondheim-260217,Sondheim
sondheim-260217-066,"In Road Show, the two brothers at the centre of the story share which surname?",text,Mizner,"[""Mizner"",""The Mizners""]",null,general,null,null,null,Road Show centres on Addison and Wilson Mizner.,sondheim-260217,Sondheim
sondheim-260217-068,The Frogs is (loosely) based on a comedy by which ancient Greek playwright?,text,Aristophanes,"[""Aristophanes""]",null,general,null,null,null,The Frogs draws from Aristophanes' play.,sondheim-260217,Sondheim
sondheim-260217-085,AUDIO: Write the song title from this clip.,text,Colour and Light,"[""Colour and Light"",""Color and Light"",""Colour & Light"",""Color & Light""]",sunday_in_the_park_with_george,audio,audio,song_title,song_clip,"This clip is from ""Colour and Light"" (Sunday in the Park with George).",sondheim-260217,Sondheim
sondheim-260217-089,AUDIO: Name the musical.,text,Pacific Overtures,"[""Pacific Overtures""]",pacific_overtures,audio,audio,show_title,song_clip,This clip is 'Someone in a Tree' from Pacific Overtures.,sondheim-260217,Sondheim
sondheim-260217-096,PICTURE: Name the performer shown here (as Mrs Lovett).,text,Angela Lansbury,"[""Angela Lansbury"",""Lansbury""]",null,picture,null,null,null,Angela Lansbury famously played Mrs Lovett in the original Broadway production.,sondheim-260217,Sondheim
sondheim-260217-098,PICTURE: Name the performer shown here (as the Witch).,text,Bernadette Peters,"[""Bernadette Peters"",""Peters""]",null,picture,null,null,null,Bernadette Peters played the Witch in the original Broadway production of Into the Woods.,sondheim-260217,Sondheim
sondheim-260217-100,PICTURE: Name the performer shown here (originating Georges Seurat/George).,text,Mandy Patinkin,"[""Mandy Patinkin"",""Patinkin""]",null,picture,null,null,null,Mandy Patinkin originated the role of Georges Seurat/George in Sunday in the Park with George.,sondheim-260217,Sondheim
typed-001,Name the musical with the song Defying Gravity.,text,Wicked,"[""wicked"",""wicked the musical""]",null,general,null,null,null,Defying Gravity is from Wicked.,typed,Typed Answers
typed-002,Name the musical set in the Kit Kat Club.,text,Cabaret,"[""cabaret""]",null,general,null,null,null,The Kit Kat Club setting points to Cabaret.,typed,Typed Answers
typed-003,Name the musical about a spelling bee.,text,The 25th Annual Putnam County Spelling Bee,"[""spelling bee"",""putnam spelling bee""]",null,general,null,null,null,The spelling bee musical is The 25th Annual Putnam County Spelling Bee.,typed,Typed Answers
typed-004,Name the musical that features Jean Valjean.,text,Les Miserables,"[""les mis"",""les miserables""]",null,general,null,null,null,Jean Valjean is the central figure in Les Misérables.,typed,Typed Answers
typed-005,Name the Sondheim musical about a barber returning to London seeking revenge.,text,Sweeney Todd,"[""sweeney todd""]",null,general,null,null,null,Sweeney Todd is the Sondheim musical about a barber returning to London.,typed,Typed Answers
WaxingT-0001,"Name the musical theatre song from these lyrics:

The rumble of the subway train,
The rattle of the taxis.
The daffy-dills who entertain
At Angelo's and Maxie's.",text,Lullaby of Broadway,null,42nd_street,general,text,song_title,lyric_excerpt,"""Lullaby of Broadway"" is from 42nd Street.",waxing_lyrical_text,Waxing Lyrical (Text)
WaxingT-0002,"Name the musical theatre song from these lyrics:

Let's spend it, lend it,
Send it rolling around!",text,We're in the Money,"[""Were in the Money""]",42nd_street,general,text,song_title,lyric_excerpt,"""We're in the Money"" is from 42nd Street.",waxing_lyrical_text,Waxing Lyrical (Text)
WaxingT-0003,"Name the musical theatre song from these lyrics:

They just use your mind
And they never give you credit",text,9 to 5,null,9_to_5,general,text,song_title,lyric_excerpt,"""9 to 5"" is from 9 to 5.",waxing_lyrical_text,Waxing Lyrical (Text)
WaxingT-0004,"Name the musical theatre song from these lyrics:

Now, I've always been misunderstood because of how I look.
Don't judge me by the cover, cause I'm a real good book",text,Backwoods Barbie,null,9_to_5,general,text,song_title,lyric_excerpt,"""Backwoods Barbie"" is from 9 to 5.",waxing_lyrical_text,Waxing Lyrical (Text)
WaxingT-0005,"Name the musical theatre song from these lyrics:

Life with my dad wasn't ever a picnic
More like a ""Come as you are.""",text,At the Ballet,null,a_chorus_line,general,text,song_title,lyric_excerpt,"""At the Ballet"" is from A Chorus Line.",waxing_lyrical_text,Waxing Lyrical (Text)
WaxingT-0006,"Name the musical theatre song from these lyrics:

Didn't cost a fortune neither.
Didn't hurt my sex life either.",text,"Dance Ten, Looks Three","[""Dance Ten Looks Three""]",a_chorus_line,general,text,song_title,lyric_excerpt,"""Dance Ten, Looks Three"" is from A Chorus Line.",waxing_lyrical_text,Waxing Lyrical (Text)
